brand,model,primary_camera,secondary_camera,WLAN,bluetooth,sensors,colors,internal_memory,release_status,release_year,release_month/quarter,removable/non-removable,battery_type,battery_current,battery_unit,display_resolution,display_size,GPRS,EDGE,dimentions,SIM,CPU,Chipset,GPU,memory_card,RAM,GPS,OS
Acer,Iconia Tab 7 A1-713,2 MP,Yes,Wi-Fi 802.11 b/g/n,Yes,Accelerometer,Black,16 GB,Available.,2011,July,Removable,Li-Ion,500,mAh,7.0 inches ,600 x 1024 pixels ,Yes,Yes,8.9 mm thickness,Yes,Quad-core,,,microSD  up to 32 GB (dedicated slot),1 GB RAM,Yes,Android 4.2.2 (Jelly Bean)
Acer,Iconia Tab 7 A1-713,2 MP,Yes,Wi-Fi 802.11 b/g/n,Yes,Accelerometer,Black,16 GB,Available.,2011,July,Removable,Li-Ion,500,mAh,7.0 inches ,600 x 1024 pixels ,Yes,Yes,8.9 mm thickness,Yes,Quad-core,,,microSD  up to 32 GB (dedicated slot),1 GB RAM,Yes, planned upgrade to 4.4.2 (KitKat)
Acer,Iconia Tab 7 A1-713HD,5 MP,Yes,Wi-Fi 802.11 b/g/n,Yes,Accelerometer,Black,16 GB,Available.,2011,August,Removable,Li-Ion,500,mAh,7.0 inches ,800 x 1280 pixels ,Yes,Yes,8.9 mm thickness,Yes,Quad-core,,,microSD  up to 32 GB (dedicated slot),1 GB RAM,Yes,Android 4.4.2 (KitKat)
Acer,Iconia B1-721,VGA,No,Wi-Fi 802.11 b/g/n,Yes,Accelerometer,Black/Red,16 GB,Available.,2011,Q3,Removable,Li-Ion,500,mAh,7.0 inches ,600 x 1024 pixels ,Yes,Yes,199 x 122.3 x 11.4 mm ,Yes,Dual-core 1.3 GHz Cortex-A7,Mediatek MT8312,Mali-400,microSD  up to 32 GB (dedicated slot),1 GB RAM,Yes,Android 4.2 (Jelly Bean)
alcatel,10.16G,,,No,No,,Black,4 MB,Discontinued,,,Removable,Li-Ion,650,mAh,1.8 inches,-,Yes,No,108.5 x 45 x 12.6 mm ,Mini-SIM,,,,No,,No,
alcatel,2007,3.15 MP,No,No,3.0,,Black,,Discontinued,,,Removable,Li-Ion,800,mAh,2.4 inches ,240 x 320 pixels ,Yes,No,119 x 50 x 9.8 mm ,Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by),,,,No,16 MB RAM,No,
alcatel,2007,3.15 MP,No,No,3.0,, Red,,Discontinued,,,Removable,Li-Ion,800,mAh,2.4 inches ,240 x 320 pixels ,Yes,No,119 x 50 x 9.8 mm ,Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by),,,,No,16 MB RAM,No,
alcatel,2007,3.15 MP,No,No,3.0,, Brown,,Discontinued,,,Removable,Li-Ion,800,mAh,2.4 inches ,240 x 320 pixels ,Yes,No,119 x 50 x 9.8 mm ,Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by),,,,No,16 MB RAM,No,
alcatel,2012,3.15 MP,No,No,3.0,,Dark Chocolate,16 MB,Discontinued,,,Removable,NiMH,700,mAh,2.8 inches ,240 x 320 pixels ,Yes,,107 x 53.7 x 14 mm ,Single SIM (Mini-SIM) or Dual SIM (Mini-SIM| dual stand-by),,,,microSD  up to 8 GB (dedicated slot),,No,
alcatel,2052,VGA,No,No,Yes,,Black,128 MB,Discontinued,,,Removable,Li-Po,780,mAh,1.8 inches ,128 x 160 pixels ,Yes,Yes,108.5 x 44.8 x 13 mm ,Mini-SIM,460 MHz,,,microSD  up to 32 GB (dedicated slot),,No,
